playerID,yearID,votedBy,ballots,needed,votes,inducted,category
ichirosuzuki,2025,BBWAA,394,296,393,Y,Player
ccsabathia,2025,BBWAA,394,296,342,Y,Player
billywagner,2025,BBWAA,394,296,325,Y,Player
carlosbeltrán,2025,BBWAA,394,296,277,N,Player
andruwjones,2025,BBWAA,394,296,261,N,Player
chaseutley,2025,BBWAA,394,296,157,N,Player
alexrodriguez,2025,BBWAA,394,296,146,N,Player
mannyramirez,2025,BBWAA,394,296,135,N,Player
andypettitte,2025,BBWAA,394,296,110,N,Player
félixhernández,2025,BBWAA,394,296,81,N,Player
bobbyabreu,2025,BBWAA,394,296,77,N,Player
jimmyrollins,2025,BBWAA,394,296,71,N,Player
omarvizquel,2025,BBWAA,394,296,70,N,Player
dustinpedroia,2025,BBWAA,394,296,47,N,Player
markbuehrle,2025,BBWAA,394,296,45,N,Player
franciscorodríguez,2025,BBWAA,394,296,40,N,Player
davidwright,2025,BBWAA,394,296,32,N,Player
toriihunter,2025,BBWAA,394,296,20,N,Player
x-iankinsler,2025,BBWAA,394,296,10,N,Player
x-russellmartin,2025,BBWAA,394,296,9,N,Player
x-brianmccann,2025,BBWAA,394,296,7,N,Player
x-troytulowitzki,2025,BBWAA,394,296,4,N,Player
x-adamjones,2025,BBWAA,394,296,3,N,Player
x-curtisgranderson,2025,BBWAA,394,296,3,N,Player
x-carlosgonzález,2025,BBWAA,394,296,2,N,Player
x-benzobrist,2025,BBWAA,394,296,0,N,Player
x-fernandorodney,2025,BBWAA,394,296,0,N,Player
x-hanleyramírez,2025,BBWAA,394,296,0,N,Player
